,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Availability Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Stage,Category,Unit Type,Unit Code,Grand Total (Pricing Structure),Total Finishing Price,Unit Total with Finishing Price,Planned Delivery Date,Actual Delivery Date,Completion Progress, Land Area  (Pricing Structure), Built Area  (Pricing Structure), Basement Area  (Pricing Structure), Uncovered Basement Area  (Pricing Structure), Penthouse Area  (Pricing Structure), Semi Covered Roof Area  (Pricing Structure), Roof Area  (Pricing Structure),Garden / Outdoor Area (Pricing Structure), Garage Area  (Pricing Structure),  Pergola Area  (Pricing Structure), Storage Area  (Pricing Structure), Extra BuiltUp Area  (Pricing Structure),Finishing Specs, Club  (Pricing Structure),,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Penthouse,Apartment,D2A8-02-0352-M,"ج.م.‏​9,149,000.00","ج.م.‏​2,643,165.40","ج.م.‏​11,792,165.40",6/30/2030,,,0.00,121.85,0.00,0.00,0.00,0.00,21.53,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Typical,Apartment,D2A8-02-0411,"ج.م.‏​10,655,000.00","ج.م.‏​3,132,230.00","ج.م.‏​13,787,230.00",6/30/2030,,,0.00,152.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0412,"ج.م.‏​9,230,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,849,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Typical,Apartment,D2A8-02-0421,"ج.م.‏​10,655,000.00","ج.م.‏​3,132,230.00","ج.م.‏​13,787,230.00",6/30/2030,,,0.00,152.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0422,"ج.م.‏​9,230,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,849,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Typical,Apartment,D2A8-02-0431,"ج.م.‏​10,655,000.00","ج.م.‏​3,132,230.00","ج.م.‏​13,787,230.00",6/30/2030,,,0.00,152.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0432,"ج.م.‏​9,230,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,849,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Typical,Apartment,D2A8-02-0441,"ج.م.‏​10,655,000.00","ج.م.‏​3,132,230.00","ج.م.‏​13,787,230.00",6/30/2030,,,0.00,152.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0442,"ج.م.‏​9,230,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,849,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Penthouse,Apartment,D2A8-02-0451,"ج.م.‏​11,044,000.00","ج.م.‏​3,251,710.00","ج.م.‏​14,295,710.00",6/30/2030,,,0.00,151.07,0.00,0.00,0.00,0.00,22.60,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Garden,Apartment,D2A8-02-0502,"ج.م.‏​9,598,000.00","ج.م.‏​2,577,060.00","ج.م.‏​12,175,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,50.30,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-3 Bed-Garden,Apartment,D2A8-02-0503,"ج.م.‏​11,542,000.00","ج.م.‏​3,186,202.00","ج.م.‏​14,728,202.00",6/30/2030,,,0.00,154.67,0.00,0.00,0.00,0.00,0.00,56.80,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0511,"ج.م.‏​9,435,000.00","ج.م.‏​2,705,192.00","ج.م.‏​12,140,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0512,"ج.م.‏​8,615,000.00","ج.م.‏​2,577,060.00","ج.م.‏​11,192,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-3 Bed-Typical,Apartment,D2A8-02-0513,"ج.م.‏​10,443,000.00","ج.م.‏​3,186,202.00","ج.م.‏​13,629,202.00",6/30/2030,,,0.00,154.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0521,"ج.م.‏​9,435,000.00","ج.م.‏​2,705,192.00","ج.م.‏​12,140,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0522,"ج.م.‏​8,615,000.00","ج.م.‏​2,577,060.00","ج.م.‏​11,192,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-3 Bed-Typical,Apartment,D2A8-02-0523,"ج.م.‏​10,443,000.00","ج.م.‏​3,186,202.00","ج.م.‏​13,629,202.00",6/30/2030,,,0.00,154.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0531,"ج.م.‏​9,435,000.00","ج.م.‏​2,705,192.00","ج.م.‏​12,140,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0541,"ج.م.‏​9,435,000.00","ج.م.‏​2,705,192.00","ج.م.‏​12,140,192.00",6/30/2030,,,0.00,131.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Typical,Apartment,D2A8-02-0542,"ج.م.‏​8,615,000.00","ج.م.‏​2,577,060.00","ج.م.‏​11,192,060.00",6/30/2030,,,0.00,125.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-The Corner C-3 Bed-Typical,Apartment,D2A8-02-0543,"ج.م.‏​10,443,000.00","ج.م.‏​3,186,202.00","ج.م.‏​13,629,202.00",6/30/2030,,,0.00,154.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
